frame,track_id,x_center,y_center
0,5244,1376.5240229814976,641.2604590527137
1,5244,1417.186227575423,621.6009477308635
2,5244,1415.267665696813,600.8419617907357
2,5245,1831.7769844983493,701.3323335212742
3,5244,1432.9381141913163,575.6440391525698
3,5245,1887.3382133059192,691.6096927073099
4,5244,1428.0136445424407,513.3629223519916
4,5245,1957.3549101538324,697.0264665390379
5,5244,1300.018924994205,607.9432752409488
5,5245,911.9721466756678,591.8880216186246
6,5244,1203.8590853862122,633.0915442425743
6,5245,737.2406856590205,576.0573491623958
7,5244,1771.7181937005244,608.3985963585776
7,5245,562.5092246423733,560.2266767061669
8,5244,2136.221625045206,558.1163043029737
8,5245,387.77776362572604,544.3960042499381
9,5244,2443.49166556316,475.84107817039194
9,5245,213.0463026090788,528.5653317937092
10,5244,2557.9225806645163,442.60777944859103
10,5245,38.31484159243155,512.7346593374804
11,5244,2672.3534957658717,409.3744807267901
11,5245,-136.4166194242157,496.9039868812514
12,5244,2786.7844108672275,376.1411820049892
12,5245,-311.14808044086294,481.0733144250225
13,5244,2901.215325968583,342.9078832831883
13,5245,-485.87954145750996,465.2426419687937
13,5247,1457.0786663783535,587.7477960131476
14,5244,3015.646241069939,309.6745845613874
14,5245,-660.6110024741577,449.4119695125647
14,5247,1742.7535567019945,581.0210665074025
14,5248,1328.3822937139284,690.546427862792
15,5244,3130.0771561712954,276.4412858395865
15,5245,-835.3424634908044,433.58129705633576
15,5247,2028.4284470256357,574.2943370016573
15,5248,1613.7517065392863,581.6080421216176
15,5249,1508.6163654466561,481.7923359743362
16,5244,3244.5080712726503,243.20798711778556
16,5245,-1010.0739245074517,417.75062460010696
16,5247,2314.1033373492764,567.5676074959121
16,5248,1731.9120435849827,546.453894045411
16,5249,1558.4796968591927,424.92997270986655
17,5244,3358.9389863740066,209.97468839598469
17,5245,-1184.805385524099,401.91995214387805
17,5247,2599.7782276729176,560.8408779901669
17,5248,1850.0723806306787,511.2997459692043
17,5249,1566.7363246960915,447.49641782505165
18,5244,3473.3699014753624,176.74138967418378
18,5245,-1359.5368465407464,386.0892796876491
18,5247,2885.453117996559,554.1141484844217
18,5248,1968.2327176763747,476.14559789299767
18,5249,1613.0267760321685,499.4715385997414
19,5244,3587.8008165767183,143.50809095238287
19,5245,-1534.2683075573937,370.2586072314201
19,5247,3171.1280083202,547.3874189786765
19,5248,2086.3930547220707,440.99144981679103
19,5249,1366.745312711494,476.67501659256527
20,5244,3702.2317316780745,110.27479223058197
20,5245,-1708.999768574041,354.42793477519126
20,5247,3456.802898643841,540.6606894729313
20,5248,2204.5533917677667,405.8373017405844
20,5249,570.8238276541506,274.9644177099383
20,5250,1495.2860808098133,523.9574521466914
21,5244,3816.6626467794295,77.04149350878106
21,5245,-1883.7312295906881,338.5972623189623
21,5247,3742.4777889674824,533.9339599671861
21,5248,2322.7137288134627,370.68315366437776
21,5249,450.08122466374436,239.3200973184314
21,5250,1485.570688924336,664.696348381062
22,5244,3931.0935618807857,43.80819478698015
22,5245,-2058.462690607335,322.7665898627334
22,5247,4028.1526792911236,527.2072304614409
22,5248,2440.8740658591587,335.5290055881711
22,5249,329.33862167333814,203.67577692692447
22,5250,1504.9402409479603,709.5800227197119
23,5244,4045.524476982141,10.574896065179246
23,5245,-2233.194151623983,306.9359174065046
23,5247,4313.827569614765,520.4805009556957
23,5248,2559.0344029048547,300.3748575119645
23,5249,208.5960186829319,168.03145653541753
23,5250,1525.1080756217436,708.8616695625283
24,5244,4159.955392083497,-22.65840265662166
24,5245,-2407.92561264063,291.1052449502756
24,5247,4599.502459938405,513.7537714499505
24,5248,2677.1947399505507,265.22070943575784
24,5249,87.85341569252569,132.38713614391065
24,5250,1532.0296243945588,686.4203869610727
25,5244,4274.386307184854,-55.89170137842257
25,5245,-2582.657073657277,275.27457249404665
25,5247,4885.177350262047,507.0270419442053
25,5248,2795.3550769962467,230.0665613595512
25,5249,-32.88918729788054,96.74281575240376
25,5250,1599.1554494451907,669.8236094434918
26,5244,4388.8172222862095,-89.12500010022347
26,5245,-2757.388534673924,259.44390003781785
26,5247,5170.852240585688,500.30031243845997
26,5248,2913.5154140419427,194.91241328334462
26,5249,-153.6317902882867,61.098495360896834
26,5250,1656.888480029897,641.2559160159587
27,5244,4503.248137387565,-122.35829882202438
27,5245,-2932.1199956905716,243.61322758158894
